#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 02 13 35 999 99.0 99.0  1.36 13.33  9.26 266 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 02 14 05 999 99.0 99.0  1.22 13.33  8.95 265 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 02 14 35 999 99.0 99.0  1.26 13.33  8.91 256 9999.0 999.0  13.4 999.0 99.0 99.00
2014 01 02 15 05 999 99.0 99.0  1.16 14.29  8.42 255 9999.0 999.0  13.4 999.0 99.0 99.00
2014 01 02 15 35 999 99.0 99.0  1.42 13.33  9.66 259 9999.0 999.0  13.7 999.0 99.0 99.00
2014 01 02 16 05 999 99.0 99.0  1.20 13.33  8.74 259 9999.0 999.0  13.9 999.0 99.0 99.00
2014 01 02 16 35 999 99.0 99.0  1.16 11.76  8.90 266 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 02 17 05 999 99.0 99.0  1.20 13.33  9.21 258 9999.0 999.0  13.4 999.0 99.0 99.00
2014 01 02 17 35 999 99.0 99.0  1.16 13.33  9.64 275 9999.0 999.0  13.4 999.0 99.0 99.00
2014 01 02 18 05 999 99.0 99.0  1.34 13.33  9.86 272 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 02 18 35 999 99.0 99.0  1.20 13.33  9.54 275 9999.0 999.0  13.6 999.0 99.0 99.00
2014 01 02 19 05 999 99.0 99.0  1.05 13.33  9.17 259 9999.0 999.0  13.8 999.0 99.0 99.00
2014 01 02 19 35 999 99.0 99.0  1.21 13.33  9.91 259 9999.0 999.0  14.0 999.0 99.0 99.00
2014 01 02 20 05 999 99.0 99.0  1.06 13.33  9.19 269 9999.0 999.0  14.0 999.0 99.0 99.00
2014 01 02 20 35 999 99.0 99.0  1.24 13.33 10.13 266 9999.0 999.0  13.9 999.0 99.0 99.00
2014 01 02 21 05 999 99.0 99.0  1.09 13.33  9.33 265 9999.0 999.0  13.9 999.0 99.0 99.00
2014 01 02 21 35 999 99.0 99.0  1.14 12.50  9.34 268 9999.0 999.0  14.9 999.0 99.0 99.00
2014 01 02 22 05 999 99.0 99.0  1.00 13.33  8.29 249 9999.0 999.0  14.6 999.0 99.0 99.00
2014 01 02 22 35 999 99.0 99.0  1.11 13.33  9.05 262 9999.0 999.0  15.3 999.0 99.0 99.00
2014 01 02 23 05 999 99.0 99.0  1.14 13.33  9.20 258 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 02 23 35 999 99.0 99.0  1.01 13.33  8.29 259 9999.0 999.0  15.8 999.0 99.0 99.00
2014 01 03 00 05 999 99.0 99.0  1.09 12.50  8.22 261 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 03 00 35 999 99.0 99.0  1.02 12.50  7.79 265 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 03 01 05 999 99.0 99.0  1.12 13.33  8.30 246 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 03 01 35 999 99.0 99.0  1.14 12.50  8.64 262 9999.0 999.0  16.1 999.0 99.0 99.00
2014 01 03 02 05 999 99.0 99.0  1.04 13.33  8.58 249 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 03 02 35 999 99.0 99.0  1.12 11.76  8.99 262 9999.0 999.0  15.2 999.0 99.0 99.00
2014 01 03 03 05 999 99.0 99.0  1.16 12.50  8.87 262 9999.0 999.0  14.0 999.0 99.0 99.00
2014 01 03 03 35 999 99.0 99.0  0.96 12.50  8.30 272 9999.0 999.0  13.6 999.0 99.0 99.00
2014 01 03 04 05 999 99.0 99.0  1.06 13.33  8.79 261 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 03 04 35 999 99.0 99.0  1.04 13.33  8.93 259 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 03 05 05 999 99.0 99.0  0.89 12.50  8.79 261 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 03 05 35 999 99.0 99.0  0.90 13.33  8.95 252 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 03 06 05 999 99.0 99.0  0.96 13.33  9.11 258 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 03 06 35 999 99.0 99.0  1.09 12.50  9.77 263 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 03 07 05 999 99.0 99.0  0.98 11.11  9.50 268 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 03 08 05 999 99.0 99.0  0.94 13.33  8.94 255 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 03 08 35 999 99.0 99.0  1.01 12.50  9.22 266 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 03 09 05 999 99.0 99.0  0.94 12.50  8.87 262 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 03 09 35 999 99.0 99.0  0.98 13.33  8.99 262 9999.0 999.0  13.6 999.0 99.0 99.00
2014 01 03 10 05 999 99.0 99.0  1.00 11.76  8.84 269 9999.0 999.0  13.6 999.0 99.0 99.00
2014 01 03 10 35 999 99.0 99.0  1.02 11.11  8.55 277 9999.0 999.0  13.6 999.0 99.0 99.00
2014 01 03 11 05 999 99.0 99.0  1.06 11.76  8.69 270 9999.0 999.0  13.6 999.0 99.0 99.00
2014 01 03 11 35 999 99.0 99.0  0.95 11.76  8.39 259 9999.0 999.0  13.6 999.0 99.0 99.00
2014 01 03 12 05 999 99.0 99.0  1.02 12.50  8.45 265 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 03 12 35 999 99.0 99.0  0.95 13.33  7.73 258 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 03 13 05 999 99.0 99.0  1.09 10.53  8.63 275 9999.0 999.0  13.5 999.0 99.0 99.00
